LTV,14.00%,,Liquidation %,Margin Call,,,,,,,,,,,,,,,
Bitcoin Collateral (BTC),1.000000000,,80.00%,70.00%,,,,,,,,,,,,,,,
Bitcoin Collateral ($),"$500,000.00",,,,,,,,,,,,,,,,,,
Loan,"$70,000.00",,Bitcoin Price (@ Liq),,,,,,,,,,,,,,,,
,,,"$87,500.00",,,,,,,,,,,,,,,,
Bitcoin Price,"$500,000.00",,Collateral Value (@ Liq),,,,,,,,,,,,,,,,
,,,"$87,500.00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STRATEGY 1,PAY BACK LOAN WITH DIVS,,,,STRATEGY 2,BUY BITCOIN WITH DIVS,,BITCOIN RETURN,,25%,,,,,,,,,SCENARIO 3: ACTIVE MANAGEMENT (BUY BITCOIN WHEN DOWN)
,Dividend,Loan Value,Interest Accrued,,,Dividend,Loan Value,Bitcoin Price,Bitcoin Purchased,Interest Accrued,,,,,,,,,
Month 1,"$2,016.00","$68,736.50",$752.50,,Month 1,"$2,016.00","$70,752.50","$510,416.67",0.00394971,$752.50,,,,,,,,,
Month 2,"$2,016.00","$67,459.42",$738.92,,Month 2,"$2,016.00","$71,513.09","$521,050.35",0.00386911,$760.59,,,,,,,,,
Month 3,"$2,016.00","$66,168.61",$725.19,,Month 3,"$2,016.00","$72,281.86","$531,905.56",0.00379015,$768.77,,,,,,,,,
Month 4,"$2,016.00","$64,863.92",$711.31,,Month 4,"$2,016.00","$73,058.89","$542,986.93",0.00371280,$777.03,,,,,,,,,
Month 5,"$2,016.00","$63,545.21",$697.29,,Month 5,"$2,016.00","$73,844.27","$554,299.16",0.00363703,$785.38,,,,,,,,,
Month 6,"$2,016.00","$62,212.32",$683.11,,Month 6,"$2,016.00","$74,638.09","$565,847.06",0.00356280,$793.83,,,,,,,,,
Month 7,"$2,016.00","$60,865.10",$668.78,,Month 7,"$2,016.00","$75,440.45","$577,635.54",0.00349009,$802.36,,,,,,,,,
Month 8,"$2,016.00","$59,503.40",$654.30,,Month 8,"$2,016.00","$76,251.44","$589,669.61",0.00341886,$810.98,,,,,,,,,
